datetime,open,high,low,close,volume
2024-09-19,2233.28003,2258.78003,2233.28003,2252.70996,4024530000
2024-09-18,2206.51001,2259.25,2197.8501,2206.34009,3691390000
2024-09-17,2199.16992,2229.0,2199.16992,2205.47998,3443600000
2024-09-16,2186.12988,2192.12012,2178.3999,2189.16992,3437070000
2024-09-13,2143.28003,2183.54004,2143.28003,2182.48999,3500790000
2024-09-12,2109.09009,2138.5,2102.36011,2129.42993,3655070000
2024-09-11,2090.86011,2105.36011,2058.67993,2103.8501,3839450000
2024-09-10,2099.87988,2101.8501,2072.88989,2097.43994,3848180000
2024-09-09,2093.09009,2115.08008,2093.09009,2097.78003,3825940000
2024-09-06,2133.15991,2139.65991,2087.94995,2091.40991,3822800000
2024-09-05,2146.54004,2150.68994,2126.19995,2132.05005,3521650000
2024-09-04,2144.59009,2166.04004,2138.82007,2145.21997,3478140000
2024-09-03,2206.40991,2206.40991,2145.46997,2149.20996,3866350000
2024-08-30,2208.69995,2218.05005,2192.40991,2217.62988,4185850000
2024-08-29,2199.11011,2223.01001,2192.42993,2202.97998,3065640000
2024-08-28,2198.05005,2202.97998,2180.15991,2188.63989,3053450000
2024-08-27,2210.87988,2210.87988,2195.07007,2203.0,2798990000
2024-08-26,2230.20996,2237.68994,2216.93994,2217.91992,2938570000
2024-08-23,2159.97998,2222.75,2159.97998,2218.69995,3291940000
2024-08-22,2170.72998,2174.87988,2147.87012,2150.03003,2981530000
2024-08-21,2146.61011,2171.27002,2146.61011,2170.56006,3119670000
2024-08-20,2164.56006,2165.3501,2138.1499,2142.18994,2994420000
2024-08-19,2143.97998,2167.51001,2143.97998,2167.5,3222050000
2024-08-16,2131.16992,2149.84009,2130.70996,2141.91992,3357690000
2024-08-15,2117.56006,2145.26001,2117.56006,2135.46997,3723310000
2024-08-14,2103.84009,2104.70996,2077.27002,2084.32007,3380050000
2024-08-13,2073.77002,2098.69995,2068.95996,2095.18994,3648980000
2024-08-12,2083.05005,2085.03003,2058.12012,2062.08008,3360160000
2024-08-09,2085.5,2086.76001,2068.91992,2080.91992,3516400000
2024-08-08,2056.8999,2084.88989,2054.57007,2084.41992,4016830000
2024-08-07,2088.11011,2094.80005,2033.95996,2035.10999,4558260000
2024-08-06,2045.19995,2087.04004,2035.52002,2064.30005,4690190000
2024-08-05,2021.85999,2061.73999,1993.27002,2039.16003,5333250000
2024-08-02,2127.25,2127.25,2090.84009,2109.31006,5156450000
2024-08-01,2253.5,2262.72998,2171.05005,2186.15991,4703620000
2024-07-31,2253.57007,2300.0,2242.77002,2254.47998,4546910000
2024-07-30,2242.43994,2255.86011,2231.02002,2243.13989,3777740000
2024-07-29,2265.61011,2269.15991,2228.16992,2235.33008,3379970000
2024-07-26,2247.82007,2267.90991,2238.66992,2260.07007,3638770000
2024-07-25,2201.66992,2255.70996,2199.62012,2222.97998,4592120000
2024-07-24,2232.84009,2246.8501,2195.37012,2195.37012,3945550000
2024-07-23,2210.6499,2253.92993,2208.40991,2243.27002,3500210000
2024-07-22,2191.22998,2223.09009,2176.47998,2220.6499,3375180000
2024-07-19,2233.96997,2261.15991,2179.94995,2184.3501,3760570000
2024-07-18,2233.96997,2261.15991,2189.62988,2198.29004,4007510000
2024-07-17,2246.43994,2278.12988,2236.25,2239.66992,4246450000
2024-07-16,2198.42993,2265.20996,2198.42993,2263.66992,4041760000
2024-07-15,2162.0,2198.48999,2160.5,2187.02002,3620470000
2024-07-12,2139.22998,2163.6001,2139.22998,2148.27002,3700280000
2024-07-11,2081.69995,2128.55005,2081.69995,2125.04004,4020950000
