datetime,open,high,low,close,volume
2024-07-23,5565.2998,5585.33984,5550.8999,5555.74023,3500210000
2024-07-22,5544.54004,5570.35986,5529.04004,5564.41016,3375180000
2024-07-19,5543.37012,5557.5,5497.04004,5505.0,3760570000
2024-07-18,5608.56006,5614.0498,5522.81006,5544.58984,4007510000
2024-07-17,5610.06982,5622.49023,5584.81006,5588.27002,4246450000
2024-07-16,5644.08984,5669.66992,5639.02002,5667.2002,4041760000
2024-07-15,5638.16016,5666.93994,5614.75,5631.22021,3620470000
2024-07-12,5590.75977,5655.56006,5590.43994,5615.3501,3700280000
2024-07-11,5635.20996,5642.4502,5576.52979,5584.54004,4020950000
2024-07-10,5591.25977,5635.39014,5586.43994,5633.91016,3336100000
2024-07-09,5584.24023,5590.75,5574.56982,5576.97998,3232920000
2024-07-08,5572.75,5583.10986,5562.50977,5572.8501,3185670000
2024-07-07,5572.75,5583.10986,5562.50977,5572.8501,0
2024-07-05,5537.91016,5570.33008,5531.62988,5567.18994,3253080000
2024-07-04,5537.91016,5570.33008,5531.62988,5567.18994,0
2024-07-03,5507.43994,5539.27002,5507.41992,5537.02002,2179470000
2024-07-02,5461.83984,5509.68994,5458.43018,5509.00977,3329950000
2024-07-01,5471.08008,5479.5498,5446.52979,5475.08984,3488760000
2024-06-28,5488.47998,5523.64014,5451.12012,5460.47998,7199220000
2024-06-27,5473.58984,5490.81006,5467.54004,5482.87012,3589530000
2024-06-26,5460.70996,5483.14014,5451.87012,5477.8999,3563920000
2024-06-25,5460.72998,5472.87988,5446.56006,5469.2998,3591960000
2024-06-24,5459.58008,5490.66016,5447.58984,5447.87012,3696750000
2024-06-21,5466.77002,5478.31006,5452.02979,5464.62012,6773800000
2024-06-20,5499.99023,5505.52979,5455.56006,5473.16992,3847060000
2024-06-18,5476.1499,5490.37988,5471.31982,5487.02979,3544330000
2024-06-17,5431.10986,5488.5,5420.3999,5473.22998,3447840000
2024-06-14,5424.08008,5432.39014,5403.75,5431.6001,3438650000
2024-06-13,5441.93018,5441.93018,5402.50977,5433.74023,3530380000
2024-06-12,5409.12988,5447.25,5409.12988,5421.02979,3962840000
2024-06-11,5353.0,5375.9502,5327.25,5375.31982,3568030000
2024-06-10,5341.22021,5365.79004,5331.52002,5360.79004,3622280000
2024-06-07,5343.81006,5375.08008,5331.33008,5346.99023,3692760000
2024-06-06,5357.7998,5362.3501,5335.35986,5352.95996,3609990000
2024-06-05,5314.47998,5354.16016,5297.64014,5354.02979,3591460000
2024-06-04,5278.24023,5298.7998,5257.62988,5291.33984,3707900000
2024-06-03,5297.1499,5302.10986,5234.31982,5283.3999,4046920000
2024-05-31,5243.20996,5280.33008,5191.68018,5277.50977,5437160000
2024-05-30,5259.77002,5260.20996,5222.1001,5235.47998,3818750000
2024-05-29,5278.72998,5282.27002,5262.7002,5266.9502,3552750000
2024-05-28,5315.91016,5315.91016,5280.89014,5306.04004,3751540000
2024-05-24,5281.4502,5311.6499,5278.39014,5304.72021,3005510000
2024-05-23,5340.25977,5341.87988,5256.93018,5267.83984,3869520000
2024-05-22,5319.27979,5323.18018,5286.00977,5307.00977,3847130000
2024-05-21,5298.68994,5324.31982,5297.87012,5321.41016,3662240000
2024-05-20,5305.3501,5325.31982,5302.3999,5308.12988,3420100000
2024-05-17,5303.1001,5305.4502,5283.58984,5303.27002,3578120000
2024-05-16,5310.06982,5325.49023,5296.18994,5297.1001,3817470000
2024-05-15,5263.25977,5311.75977,5263.25977,5308.1499,4360810000
2024-05-14,5221.1001,5250.37012,5217.97998,5246.68018,4763580000
2024-05-13,5233.08008,5237.25977,5211.16016,5221.41992,4255710000
2024-05-10,5225.49023,5239.66016,5209.68018,5222.68018,3617900000
2024-05-09,5189.02979,5215.2998,5180.41016,5214.08008,3727370000
2024-05-08,5168.97998,5191.9502,5165.85986,5187.66992,3842100000
2024-05-07,5187.2002,5200.22998,5178.95996,5187.7002,3987890000
2024-05-06,5142.41992,5181.0,5142.41992,5180.74023,3683250000
2024-05-03,5122.77979,5139.12012,5101.22021,5127.79004,3924990000
2024-05-02,5049.31982,5073.20996,5011.0498,5064.2002,4381660000
2024-05-01,5029.02979,5096.12012,5013.4502,5018.39014,4544170000
2024-04-30,5103.77979,5110.83008,5035.31006,5035.68994,4082470000
2024-04-29,5114.12988,5123.49023,5088.6499,5116.16992,3447450000
2024-04-26,5084.6499,5114.62012,5073.14014,5099.95996,3604140000
2024-04-25,5019.87988,5057.75,4990.58008,5048.41992,3958050000
2024-04-24,5084.85986,5089.47998,5047.02002,5071.62988,3656740000
2024-04-23,5028.8501,5076.12012,5027.95996,5070.5498,3751400000
2024-04-22,4987.33008,5038.83984,4969.3999,5010.6001,3820250000
2024-04-19,5005.43994,5019.02002,4953.56006,4967.22998,3878750000
2024-04-18,5031.52002,5056.66016,5001.89014,5011.12012,3619760000
2024-04-17,5068.97021,5077.95996,5007.25,5022.20996,3596130000
2024-04-16,5064.58984,5079.83984,5039.83008,5051.41016,4006200000
2024-04-15,5149.66992,5168.43018,5052.47021,5061.81982,3950210000
2024-04-12,5171.50977,5175.02979,5107.93994,5123.41016,3963220000
2024-04-11,5172.9502,5211.77979,5138.77002,5199.06006,3509380000
2024-04-10,5167.87988,5178.43018,5138.7002,5160.64014,3845930000
2024-04-09,5217.02979,5224.81006,5160.77979,5209.91016,3400680000
2024-04-08,5211.37012,5219.56982,5197.3501,5202.39014,3278180000
2024-04-05,5158.9502,5222.18018,5157.20996,5204.33984,3386780000
2024-04-04,5244.0498,5256.58984,5146.06006,5147.20996,4075680000
2024-04-03,5194.37012,5228.75,5194.37012,5211.49023,3703250000
2024-04-02,5204.29004,5208.33984,5184.0498,5205.81006,3886590000
2024-04-01,5257.97021,5263.9502,5229.2002,5243.77002,3325930000
2024-03-28,5248.02979,5264.8501,5245.81982,5254.3501,3998270000
2024-03-27,5226.31006,5249.25977,5213.91992,5248.49023,3850500000
2024-03-26,5228.8501,5235.16016,5203.41992,5203.58008,3871790000
2024-03-25,5219.52002,5229.08984,5216.08984,5218.18994,3331360000
2024-03-22,5242.47998,5246.08984,5229.87012,5234.18018,3374700000
2024-03-21,5253.43018,5261.1001,5240.66016,5241.52979,4207730000
2024-03-20,5181.68994,5226.18994,5171.5498,5224.62012,4064850000
2024-03-19,5139.08984,5180.31006,5131.58984,5178.50977,4031760000
2024-03-18,5154.77002,5175.6001,5145.47021,5149.41992,4036220000
2024-03-15,5123.31006,5136.85986,5104.3501,5117.08984,7753670000
2024-03-14,5175.14014,5176.8501,5123.2998,5150.47998,4687970000
2024-03-13,5173.49023,5179.14014,5151.87988,5165.31006,4282890000
2024-03-12,5134.2998,5179.87012,5114.47998,5175.27002,4080510000
2024-03-11,5111.95996,5124.66016,5091.14014,5117.93994,3896430000
2024-03-08,5164.45996,5189.25977,5117.5,5123.68994,4208870000
2024-03-07,5132.37988,5165.62012,5128.20996,5157.35986,4137980000
2024-03-06,5108.02979,5127.97021,5092.22021,5104.75977,4559050000
2024-03-05,5110.52002,5114.54004,5056.81982,5078.6499,4418410000
2024-03-04,5130.99023,5149.66992,5127.18018,5130.9502,4758440000
2024-03-01,5098.50977,5140.33008,5094.16016,5137.08008,4748110000
2024-02-29,5085.35986,5104.99023,5061.89014,5096.27002,5219740000
2024-02-28,5067.2002,5077.37012,5058.3501,5069.75977,3789370000
2024-02-27,5074.6001,5080.68994,5057.29004,5078.18018,3925950000
2024-02-26,5093.0,5097.66016,5068.91016,5069.52979,3683930000
2024-02-23,5100.91992,5111.06006,5081.45996,5088.7998,3672790000
2024-02-22,5038.83008,5094.39014,5038.83008,5087.02979,4051710000
2024-02-21,4963.02979,4983.20996,4946.0,4981.7998,3788390000
2024-02-20,4989.31982,4993.70996,4955.02002,4975.50977,4034880000
2024-02-16,5031.12988,5038.7002,4999.52002,5005.56982,3833270000
2024-02-15,5003.14014,5032.72021,4999.43994,5029.72998,4137970000
2024-02-14,4976.43994,5002.52002,4956.4502,5000.62012,3845600000
2024-02-13,4967.93994,4971.2998,4920.31006,4953.16992,4302190000
2024-02-12,5026.83008,5048.39014,5016.83008,5021.83984,3805740000
2024-02-09,5004.16992,5030.06006,5000.33984,5026.60986,3912990000
2024-02-08,4995.16016,5000.3999,4987.08984,4997.91016,4341860000
2024-02-07,4973.0498,4999.89014,4969.0498,4995.06006,4895590000
2024-02-06,4950.16016,4957.77002,4934.87988,4954.22998,4440880000
2024-02-05,4957.18994,4957.18994,4918.08984,4942.81006,4023640000
2024-02-02,4916.06006,4975.29004,4907.99023,4958.60986,3974350000
2024-02-01,4861.10986,4906.97021,4853.52002,4906.18994,4386090000
2024-01-31,4899.18994,4906.75,4845.1499,4845.6499,4696120000
2024-01-30,4925.89014,4931.08984,4916.27002,4924.97021,3836130000
2024-01-29,4892.9502,4929.31006,4887.3999,4927.93018,3525160000
2024-01-26,4888.91016,4906.68994,4881.47021,4890.97021,3353400000
2024-01-25,4886.66016,4898.1499,4869.33984,4894.16016,4020430000
2024-01-24,4888.56006,4903.68018,4865.93994,4868.5498,4330030000
2024-01-23,4856.7998,4866.47998,4844.37012,4864.6001,3912800000
2024-01-22,4853.41992,4868.41016,4844.0498,4850.43018,4297610000
2024-01-19,4796.27979,4842.06982,4785.87012,4839.81006,4287200000
2024-01-18,4760.1001,4785.79004,4740.56982,4780.93994,4019000000
2024-01-17,4739.12988,4744.22998,4714.81982,4739.20996,3928600000
2024-01-16,4772.3501,4782.33984,4747.12012,4765.97998,4260550000
2024-01-12,4791.18018,4802.3999,4768.97998,4783.83008,3486340000
2024-01-11,4792.12988,4798.5,4739.58008,4780.24023,3759890000
2024-01-10,4759.93994,4790.7998,4756.2002,4783.4502,3498680000
2024-01-09,4741.93018,4765.47021,4730.3501,4756.5,3529960000
2024-01-08,4703.7002,4764.54004,4699.81982,4763.54004,3742320000
2024-01-05,4690.56982,4721.49023,4682.10986,4697.24023,3844370000
2024-01-04,4697.41992,4726.77979,4687.52979,4688.68018,3715480000
2024-01-03,4725.06982,4729.29004,4699.70996,4704.81006,3950760000
2024-01-02,4745.2002,4754.33008,4722.66992,4742.83008,3743050000
2023-12-29,4782.87988,4788.43018,4751.99023,4769.83008,3126060000
2023-12-28,4786.43994,4793.2998,4780.97998,4783.3501,2698860000
2023-12-27,4773.4502,4785.39014,4768.8999,4781.58008,2748450000
2023-12-26,4758.85986,4784.72021,4758.4502,4774.75,2513910000
2023-12-22,4753.91992,4772.93994,4736.77002,4754.62988,3046770000
2023-12-21,4724.29004,4748.70996,4708.3501,4746.75,3431180000
2023-12-20,4764.72998,4778.00977,4697.81982,4698.3501,4201320000
2023-12-19,4743.72021,4768.68994,4743.72021,4768.37012,4026970000
2023-12-18,4725.58008,4749.52002,4725.58008,4740.56006,4060340000
2023-12-15,4714.22998,4725.52979,4704.68994,4719.18994,8218980000
2023-12-14,4721.04004,4738.56982,4694.33984,4719.5498,6314040000
2023-12-13,4646.2002,4709.68994,4643.22998,4707.08984,5063650000
2023-12-12,4618.2998,4643.93018,4608.08984,4643.7002,3808380000
2023-12-11,4593.39014,4623.70996,4593.39014,4622.43994,3823210000
2023-12-08,4576.2002,4609.22998,4574.06006,4604.37012,3707010000
2023-12-07,4568.83984,4590.91992,4565.22021,4585.58984,3818880000
2023-12-06,4586.22998,4590.74023,4546.5,4549.33984,4245680000
2023-12-05,4557.25,4578.56006,4551.68018,4567.18018,3909950000
2023-12-04,4564.37012,4572.37012,4546.72021,4569.77979,4369910000
2023-12-01,4559.43018,4599.39014,4554.70996,4594.62988,4397120000
2023-11-30,4554.87012,4569.89014,4537.24023,4567.7998,5399300000
2023-11-29,4571.83984,4587.64014,4547.1499,4550.58008,4418760000
2023-11-28,4545.5498,4568.14014,4540.50977,4554.89014,3586240000
2023-11-27,4554.85986,4560.52002,4546.31982,4550.43018,3403990000
2023-11-24,4555.83984,4560.31006,4552.7998,4559.33984,1639500000
2023-11-22,4553.04004,4568.43018,4545.0498,4556.62012,3042810000
2023-11-21,4538.77002,4542.14014,4525.50977,4538.18994,3511080000
2023-11-20,4511.7002,4557.10986,4510.35986,4547.37988,3644790000
2023-11-17,4509.5498,4520.12012,4499.66016,4514.02002,3777240000
2023-11-16,4497.08008,4511.99023,4487.83008,4508.24023,3964520000
2023-11-15,4505.2998,4521.16992,4495.31006,4502.87988,4347170000
2023-11-14,4458.97021,4508.66992,4458.97021,4495.7002,4700350000
2023-11-13,4406.66016,4421.75977,4393.81982,4411.5498,3326240000
2023-11-10,4364.1499,4418.02979,4353.33984,4415.24023,3665080000
2023-11-09,4391.41016,4393.3999,4343.93994,4347.3501,3900780000
2023-11-08,4384.37012,4391.2002,4359.75977,4382.77979,3729510000
2023-11-07,4366.20996,4386.25977,4355.41016,4378.37988,3791230000
2023-11-06,4364.27002,4372.20996,4347.52979,4365.97998,3656340000
2023-11-03,4334.22998,4373.62012,4334.22998,4358.33984,4570960000
2023-11-02,4268.25977,4319.72021,4268.25977,4317.77979,4669780000
2023-11-01,4201.27002,4245.64014,4197.74023,4237.85986,4224900000
2023-10-31,4171.33008,4195.5498,4153.12012,4193.7998,4249470000
2023-10-30,4139.39014,4177.47021,4132.93994,4166.81982,3911140000
2023-10-27,4152.93018,4156.7002,4103.77979,4117.37012,4019500000
2023-10-26,4175.99023,4183.6001,4127.8999,4137.22998,4277640000
2023-10-25,4232.41992,4232.41992,4181.41992,4186.77002,3869370000
2023-10-24,4235.79004,4259.37988,4219.43018,4247.68018,3821820000
2023-10-23,4210.3999,4255.83984,4189.22021,4217.04004,3776100000
2023-10-20,4273.8501,4276.56006,4223.02979,4224.16016,4004030000
2023-10-19,4321.35986,4339.54004,4269.68994,4278.0,3969730000
2023-10-18,4357.3501,4364.2002,4303.83984,4314.6001,3686030000
2023-10-17,4345.22998,4393.56982,4337.54004,4373.2002,3794850000
2023-10-16,4342.37012,4383.33008,4342.37012,4373.62988,3409960000
2023-10-13,4360.49023,4377.1001,4311.97021,4327.77979,3566560000
2023-10-12,4380.93994,4385.8501,4325.43018,4349.60986,3713140000
2023-10-11,4366.58984,4378.64014,4345.33984,4376.9502,3601660000
2023-10-10,4339.75,4385.45996,4339.64014,4358.24023,3520240000
2023-10-09,4289.02002,4341.72998,4283.79004,4335.66016,3174630000
2023-10-06,4234.79004,4324.1001,4219.5498,4308.5,3902030000
